Fetching supported pairs from Indodax...
Found 485 pairs:
Ticker ID       | Description          | Base Currency | Traded Currency
move_idr        | MOVE/IDR             | idr        | move      
mpro_idr        | MPRO/IDR             | idr        | mpro      
mrs_idr         | MRS/IDR              | idr        | mrs       
mshd_idr        | MSHD/IDR             | idr        | mshd      
mtc_idr         | MTC/IDR              | idr        | mtc       
mtl_idr         | MTL/IDR              | idr        | mtl       
mura_idr        | MURA/IDR             | idr        | mura      
nbtnew_idr      | NBT/IDR              | idr        | nbtnew    
near_idr        | NEAR/IDR             | idr        | near      
neirocto_idr    | NEIRO/IDR            | idr        | neirocto  
neo_idr         | NEO/IDR              | idr        | neo       
neorpnew_idr    | NEOIDR/IDR           | idr        | neorpnew  
neon_idr        | NEON/IDR             | idr        | neon      
newt_idr        | NEWT/IDR             | idr        | newt      
nexo_idr        | NEXO/IDR             | idr        | nexo      
nfp_idr         | NFP/IDR              | idr        | nfp       
nmd_idr         | NMD/IDR              | idr        | nmd       
npc_idr         | NPC/IDR              | idr        | npc       
nrg_idr         | NRG/IDR              | idr        | nrg       
nusa_idr        | NUSA/IDR             | idr        | nusa      
octo_idr        | OCTO/IDR             | idr        | octo      
ogn_idr         | OGN/IDR              | idr        | ogn       
okb_idr         | OKB/IDR              | idr        | okb       
okusd_idr       | OKUSD/IDR            | idr        | okusd     
om_idr          | OM/IDR               | idr        | om        
omg_idr         | OMG/IDR              | idr        | omg       
omni_idr        | OMNI/IDR             | idr        | omni      
ondo_idr        | ONDO/IDR             | idr        | ondo      
ont_idr         | ONT/IDR              | idr        | ont       
op_idr          | OP/IDR               | idr        | op        
orbs_idr        | ORBS/IDR             | idr        | orbs      
orc_idr         | ORC/IDR              | idr        | orc       
orca_idr        | ORCA/IDR             | idr        | orca      
orderly_idr     | ORDER/IDR            | idr        | orderly   
paxg_idr        | PAXG/IDR             | idr        | paxg      
pendle_idr      | PENDLE/IDR           | idr        | pendle    
pengu_idr       | PENGU/IDR            | idr        | pengu     
people_idr      | PEOPLE/IDR           | idr        | people    
pepe_idr        | PEPE/IDR             | idr        | pepe      
perp_idr        | PERP/IDR             | idr        | perp      
plpa_idr        | PLPA/IDR             | idr        | plpa      
plume_idr       | PLUME/IDR            | idr        | plume     
gns_idr         | GNS/IDR              | idr        | gns       
pha_idr         | PHA/IDR              | idr        | pha       
pippin_idr      | PIPPIN/IDR           | idr        | pippin    
pixel_idr       | PIXEL/IDR            | idr        | pixel     
pnut_idr        | PNUT/IDR             | idr        | pnut      
pols_idr        | POLS/IDR             | idr        | pols      
pol_idr         | POL/IDR              | idr        | pol       
poly_idr        | POLY/IDR             | idr        | poly      
pond_idr        | POND/IDR             | idr        | pond      
ponke_idr       | PONKE/IDR            | idr        | ponke     
portal_idr      | PORTAL/IDR           | idr        | portal    
popcat_idr      | POPCAT/IDR           | idr        | popcat    
powr_idr        | POWR/IDR             | idr        | powr      
prcl_idr        | PRCL/IDR             | idr        | prcl      
prime_idr       | PRIME/IDR            | idr        | prime     
prom_idr        | PROM/IDR             | idr        | prom      
prove_idr       | PROVE/IDR            | idr        | prove     
puffer_idr      | PUFFER/IDR           | idr        | puffer    
pyr_idr         | PYR/IDR              | idr        | pyr       
pyth_idr        | PYTH/IDR             | idr        | pyth      
qnt_idr         | QNT/IDR              | idr        | qnt       
rad_idr         | RAD/IDR              | idr        | rad       
rare_idr        | RARE/IDR             | idr        | rare      
ray_idr         | RAY/IDR              | idr        | ray       
red_idr         | RED/IDR              | idr        | red       
red2_idr        | RED2/IDR             | idr        | red2      
ren_idr         | REN/IDR              | idr        | ren       
rep_idr         | REP/IDR              | idr        | rep       
req_idr         | REQ/IDR              | idr        | req       
rez_idr         | REZ/IDR              | idr        | rez       
rfc_idr         | RFC/IDR              | idr        | rfc       
rdnt_idr        | RDNT/IDR             | idr        | rdnt      
